Day,Screen,Packaged Route,Status,Dimensions,SHA-256,Runtime Source
day09,Reading & Language — Overview,10 - Reading & Language Learning/Approved/PBOS-Reading-Language-Overview-v1-REFERENCE.png,PACKAGED,1672x941,6d4a308fd619a615e329883ba2dabd351f98a9d6972a248366dfe760f56f9e2e,/mnt/data/performance_buddy_learning_dashboard.png
day09,Language Learning Path — Detail,10 - Reading & Language Learning/Approved/PBOS-Language-Learning-Path-Detail-v1-REFERENCE.png,PACKAGED,1024x1536,c43376129c072abdd07d00ca71fc4bc6fc574ae658b0eb3fd77abea7451c2f1c,/mnt/data/a_high_detail_dark_mode_dashboard_ui_screenshot_l.png
day09,Language — Learning Session,10 - Reading & Language Learning/Approved/PBOS-Language-Learning-Session-v1-REFERENCE.png,PACKAGED,1536x1024,7e054d2986bbdc35fd5c80a511e132e2aa5c336e8061b29e06d7b13c128ddbf1,/mnt/data/a_high_resolution_dark_themed_app_website_ui_scree.png
day09,Reading — Book Detail & Progress,10 - Reading & Language Learning/Approved/PBOS-Reading-Book-Detail-Progress-v1-REFERENCE.png,PACKAGED,1024x1536,ad7928b6e19bc9266fb4fa45803320e5e4544da8c737f0930d18117bff89d5cb,/mnt/data/a_high_detail_dark_mode_desktop_app_ui_screenshot.png
day10,Money — Overview,11 - Money OS/Approved/PBOS-Money-Overview-v1-REFERENCE.png,PACKAGED,1024x1536,6db2cfec6b33f140db430fd7d4a7e3bdc962c202100a0ed28cd2105be3a38d67,/mnt/data/a_high_resolution_dark_theme_dashboard_ui_screensh.png
day10,Transactions — History & Capture,11 - Money OS/Approved/PBOS-Money-Transactions-v1-REFERENCE.png,PACKAGED,1536x1024,5054bb3c4a9277582ce61eeca8613ca7e683a6a10773b57670141818a85b76a7,/mnt/data/a_dark_themed_desktop_app_ui_screenshot_for_a_pers.png
day10,Money Insights — Review,11 - Money OS/Approved/PBOS-Money-Insights-Review-v1-REFERENCE.png,PACKAGED,1024x1536,bad1a97dca4d50e2b59c78397331520553abb1e7f9bfe2974c0c10fed9448588,/mnt/data/a_high_detail_dark_mode_finance_dashboard_ui_scree.png
day11,Weekly Review,12 - Analytics & Reviews/Approved/PBOS-Analytics-Weekly-Review-v1-REFERENCE.png,PACKAGED,1672x941,c4c14ec2cbf5f5e203c0111a0adfba7af1b3a5478a8a490f342acbb04654083f,/mnt/data/performance_buddy_os_weekly_review_dashboard.png
day11,Monthly Review,12 - Analytics & Reviews/Approved/PBOS-Analytics-Monthly-Review-v1-REFERENCE.png,PACKAGED,1024x1536,fa5bd91bae3d9c5315343a0345d4c2a3f8d9a147c0a497b1ad5f96f2ad9ae6c3,/mnt/data/a_high_detail_desktop_ui_dashboard_screenshot_in_a.png
day11,Patterns & Insights,12 - Analytics & Reviews/Approved/PBOS-Analytics-Patterns-Insights-v1-REFERENCE.png,PACKAGED,1024x1536,54eaa6b7525ddb6258bb3b7d7d57293fb567265a58039be9ed1bd579b4fad206,/mnt/data/a_dark_themed_dashboard_ui_screenshot_desktop_app.png
day12,AI Coach — Overview,13 - AI Coach & Intelligence/Approved/PBOS-AI-Coach-Overview-v1-REFERENCE.png,PACKAGED,1024x1536,3b4073f6c3a95b4fadc149e8bde8533a703903363b16e2ac7a3cbac0a6ea038c,/mnt/data/a_high_resolution_dark_mode_desktop_ui_dashboard_s.png
day12,AI Coach — Conversation / Workspace,13 - AI Coach & Intelligence/Approved/PBOS-AI-Coach-Workspace-v1-REFERENCE.png,PACKAGED,1536x1024,b28387203bf19b878b43394c6e31faa6403c9ba35d073315bf4b118ddf75cd60,/mnt/data/a_high_detail_ui_screenshot_of_a_dark_themed_produ.png
day12,Recommendations & Decisions,13 - AI Coach & Intelligence/Approved/PBOS-AI-Recommendations-Decisions-v1-REFERENCE.png,PACKAGED,1536x1024,02c91068f0361e1f4c4229284741fb9382afa271668d1a671d87aa787d751e41,/mnt/data/a_high_resolution_dark_mode_ui_dashboard_screensho.png
day12,AI Context & Permissions,13 - AI Coach & Intelligence/Approved/PBOS-AI-Context-Permissions-v1-REFERENCE.png,PACKAGED,1536x1024,4fc26a5fd008486aaf9ed64767ab0c7de349e008c6b74709cbe2b38089844af5,/mnt/data/a_dark_mode_ui_dashboard_screenshot_wide_desktop.png
day13,Planner — Overview,14 - Planning & Calendar/Approved/PBOS-Planner-Overview-v1-REFERENCE.png,PACKAGED,1536x1024,cc6767f553ed523ee2947cdc4ed7f9fd5011bcf36efc34ac47d33e0cb3deb799,/mnt/data/a_crisp_dark_mode_productivity_planner_dashboard_u.png
day13,Calendar — Week View,14 - Planning & Calendar/Approved/PBOS-Calendar-Week-v1-REFERENCE.png,PACKAGED,1536x1024,df23b3f01e4b4157fc3d0934496a00e83796d049b12e6ab20fa2d444c507a6a6,/mnt/data/a_high_resolution_dark_theme_ui_screenshot_of_a_we.png
day13,Plan Builder — Day / Week,14 - Planning & Calendar/Approved/PBOS-Plan-Builder-v1-REFERENCE.png,PACKAGED,1536x1024,0fb8608e8e9a127ba1256e6d6a13ff763f09abdbfd71d4b11219ccd91d1a3db7,/mnt/data/a_high_resolution_dark_mode_dashboard_ui_screensho.png
day13,Schedule Conflict & Capacity,14 - Planning & Calendar/Approved/PBOS-Schedule-Conflict-Capacity-v1-REFERENCE.png,PACKAGED,1536x1024,0cf50be4900f8e854565d6b72b040c7e474e15ae9982b7dcedb8677b59213611,/mnt/data/a_detailed_ui_screenshot_of_a_dark_themed_producti.png
day13,Plan Builder — alternate generated reference,14 - Planning & Calendar/Archive/PBOS-Plan-Builder-v1-ALT-REFERENCE.png,ARCHIVED_ALT,1536x1024,80028b71d2b583de7c8122231a660cf272ad0be27ac6e8771928351288ead2ce,/mnt/data/a_wide_dark_themed_modern_productivity_app_dashb.png
